"author","timestamp","sha","tools"
"bernt-matthias","2017-11-14 13:28:55+00:00","22e7e04","[]"
"bernt-matthias","2017-11-14 17:05:49+00:00","01701e6","[]"
"bernt-matthias","2017-11-14 17:44:49+00:00","1ff961e","[]"
"bernt-matthias","2017-12-18 09:04:29+00:00","a285f92","[]"
"bernt-matthias","2017-12-18 09:06:27+00:00","968289c","[]"
"bernt-matthias","2017-12-18 09:10:19+00:00","98943ba","[{""name"": ""fasta_regex_finder"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-02-01 12:07:55+00:00","b72bfe4","[]"
"bernt-matthias","2018-03-27 16:08:08+00:00","504559c","[{""name"": ""fasta_regex_finder"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-05-07 13:18:18+00:00","3763472","[{""name"": ""fasta_regex_finder"", ""categories"": [""Sequence Analysis""]}, {""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-05-07 13:20:14+00:00","1046f15","[{""name"": ""fasta_regex_finder"", ""categories"": [""Sequence Analysis""]}, {""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-06-01 07:18:00+00:00","bf052f7","[]"
"bernt-matthias","2018-06-01 07:43:15+00:00","efbe549","[]"
"hagto","2018-06-19 15:18:05+00:00","ecf33d2","[]"
"bernt-matthias","2018-06-20 09:39:26+00:00","cc2c8ae","[{""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-06-20 13:57:22+00:00","0173bbe","[]"
"bernt-matthias","2018-06-20 14:34:24+00:00","d8534be","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-06-20 14:35:23+00:00","aa07d9e","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-06-20 14:50:04+00:00","8e118a4","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"hagto","2018-07-05 15:13:10+00:00","8cb82da","[]"
"hagto","2018-07-05 15:25:14+00:00","94ca978","[]"
"bernt-matthias","2018-07-10 12:50:24+00:00","5c14a23","[{""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-07-16 10:21:50+00:00","2ab139a","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}, {""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-07-16 10:22:04+00:00","466bb57","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"hagto","2018-07-16 10:26:08+00:00","2943f4a","[]"
"hagto","2018-07-16 10:36:13+00:00","5d1da37","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}, {""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-07-16 10:42:39+00:00","3b9f96e","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-07-16 11:04:34+00:00","5be33ea","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-07-18 10:44:31+00:00","9251cc5","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2018-08-16 15:12:55+00:00","f20990f","[]"
"bernt-matthias","2018-08-16 15:15:08+00:00","5391f45","[]"
"bernt-matthias","2018-08-16 15:16:15+00:00","2735bbd","[]"
"bernt-matthias","2018-08-16 15:17:03+00:00","2a2a922","[]"
"bernt-matthias","2018-09-30 22:42:06+00:00","99401b9","[]"
"bernt-matthias","2018-09-30 22:42:51+00:00","bb3498d","[]"
"bernt-matthias","2018-10-04 21:46:13+00:00","3f5e47b","[]"
"bernt-matthias","2018-10-16 14:19:01+00:00","c003bb1","[{""name"": ""maxbin2"", ""categories"": [""Metagenomics""]}]"
"bernt-matthias","2018-11-01 12:49:21+00:00","1bd4e4f","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 15:56:55+00:00","d7a7a19","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 18:37:45+00:00","0e93d2f","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 19:07:18+00:00","6a91765","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 19:14:29+00:00","095b852","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 19:38:23+00:00","5d7f332","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 19:43:54+00:00","5da6aed","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 19:44:57+00:00","c529846","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-01 23:00:08+00:00","00e6580","[{""name"": ""data_manager_megan_tools"", ""categories"": [""Data Managers""]}]"
"bernt-matthias","2018-11-05 08:31:19+00:00","ecfee06","[]"
"bernt-matthias","2018-11-05 08:35:05+00:00","b3dd3f0","[]"
"bernt-matthias","2018-11-05 08:43:08+00:00","be83a91","[]"
"bernt-matthias","2018-12-06 13:58:18+00:00","52cbef1","[]"
"bernt-matthias","2018-12-19 09:19:54+00:00","9c25f94","[]"
"bernt-matthias","2018-12-19 09:23:04+00:00","16ea63d","[]"
"bernt-matthias","2018-12-19 09:42:37+00:00","20ad897","[]"
"bernt-matthias","2019-10-24 09:03:42+00:00","ddbf7c0","[]"
"bernt-matthias","2020-11-06 08:50:40+00:00","4fabd42","[]"
"bernt-matthias","2021-03-05 10:24:31+00:00","8c2b974","[]"
"bernt-matthias","2021-03-05 11:27:34+00:00","1cf4f2a","[]"
"bernt-matthias","2023-01-25 13:43:42+00:00","32c3215","[]"
"bernt-matthias","2023-01-25 15:52:13+00:00","def270a","[]"
"bernt-matthias","2023-06-22 21:11:04+00:00","fa991f4","[]"
"bernt-matthias","2023-06-22 21:18:17+00:00","979bf71","[]"
"bernt-matthias","2023-06-22 21:19:00+00:00","54f132a","[]"
"bernt-matthias","2023-07-28 15:52:28+00:00","3a84cdb","[{""name"": ""r"", ""categories"": [""Statistics""]}]"
"bernt-matthias","2023-07-29 10:34:45+00:00","ea9a07f","[{""name"": ""r"", ""categories"": [""Statistics""]}]"
"bernt-matthias","2023-07-29 10:39:00+00:00","38ed6f3","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-07-29 10:41:09+00:00","99cd040","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-07-29 12:31:44+00:00","3a2ba4d","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-07-29 15:36:32+00:00","18b7b66","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-07-29 15:43:35+00:00","12e886e","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-03 08:18:07+00:00","249bbd0","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-03 08:18:22+00:00","1fb8348","[]"
"bernt-matthias","2023-08-03 10:11:47+00:00","1ac5f0a","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-03 10:19:44+00:00","82566f9","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-03 10:24:44+00:00","b9628a6","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 13:31:12+00:00","79d7ec4","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 13:31:45+00:00","1c96b41","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 13:38:29+00:00","93ab9ec","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 13:45:37+00:00","17dc2c7","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 14:00:07+00:00","d4ba4f9","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 14:38:14+00:00","6a070ad","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 14:50:36+00:00","62b1d1c","[]"
"bernt-matthias","2023-08-06 14:53:52+00:00","8bf05fc","[]"
"bernt-matthias","2023-08-06 14:54:45+00:00","9e9a086","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 15:28:29+00:00","dd2bad6","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 15:42:32+00:00","5c71b60","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 19:29:08+00:00","23c8298","[]"
"bernt-matthias","2023-08-06 19:30:38+00:00","e855937","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}, {""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-06 19:47:26+00:00","ab554ef","[]"
"bernt-matthias","2023-08-07 10:00:12+00:00","3da19ca","[{""name"": ""scripting"", ""categories"": [""Text Manipulation""]}]"
"bernt-matthias","2023-08-07 13:38:40+00:00","82ae2fa","[{""name"": ""longorf"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2023-12-18 08:00:45+00:00","b0747d6","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2023-12-18 08:17:29+00:00","95b31a4","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2024-01-24 14:52:02+00:00","06ec1fc","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2024-01-24 15:06:47+00:00","d9e4de3","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2024-01-25 08:59:37+00:00","e3e48cf","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"rmassei","2024-01-25 13:02:24+00:00","474ee69","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-26 14:15:33+00:00","5b9ce7c","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-26 14:26:10+00:00","b0109e7","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-26 14:34:34+00:00","ee44a78","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-26 14:44:35+00:00","0888125","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-26 14:57:09+00:00","42a69e0","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 08:43:00+00:00","7ec2f62","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 08:51:41+00:00","8e8ea39","[]"
"bernt-matthias","2024-01-29 08:54:21+00:00","f2241e2","[]"
"bernt-matthias","2024-01-29 08:57:31+00:00","d2a440e","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 09:14:28+00:00","be5d769","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 09:59:50+00:00","baf140f","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 10:01:44+00:00","438b9a1","[]"
"bernt-matthias","2024-01-29 10:03:22+00:00","ff538c3","[]"
"bernt-matthias","2024-01-29 10:25:38+00:00","467e934","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 10:42:02+00:00","fcf22d2","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 13:28:20+00:00","d65a1eb","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 13:39:10+00:00","0358f8c","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 14:43:19+00:00","6a16e8b","[{""name"": ""omero_upload"", ""categories"": [""Sequence Analysis""]}]"
"bernt-matthias","2024-01-29 15:04:16+00:00","f058896","[{""name"": ""omero_upload"", ""categories"": [""Image Analysis""]}]"
"rmassei","2024-01-29 16:56:20+00:00","cae5f10","[{""name"": ""omero_upload"", ""categories"": [""Image Analysis""]}]"
"bernt-matthias","2024-01-29 21:22:50+00:00","270b7eb","[{""name"": ""omero_upload"", ""categories"": [""Image Analysis""]}]"
"bernt-matthias","2024-01-29 21:30:33+00:00","2dcbfad","[{""name"": ""omero_upload"", ""categories"": [""Image Analysis""]}]"
"bernt-matthias","2024-02-07 11:42:22+00:00","a267cf2","[{""name"": ""omero_upload"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-07 14:20:19+00:00","e12c08a","[{""name"": ""omero_upload"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-07 16:40:05+00:00","91c7976","[{""name"": ""omero_upload"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-07 16:54:21+00:00","1b04441","[{""name"": ""omero_upload"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-07 16:55:04+00:00","ebf948c","[{""name"": ""omero"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-07 17:20:21+00:00","b9aa7d7","[]"
"bernt-matthias","2024-02-07 17:39:15+00:00","2b74804","[]"
"bernt-matthias","2024-02-08 10:27:11+00:00","cd331b7","[{""name"": ""omero"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-08 10:46:59+00:00","38fbf88","[]"
"bernt-matthias","2024-02-08 13:18:44+00:00","fcc6630","[]"
"bernt-matthias","2024-02-08 14:06:38+00:00","4083b5d","[]"
"bernt-matthias","2024-02-08 16:33:38+00:00","659c1b0","[{""name"": ""omero"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-08 16:35:11+00:00","4aa3199","[]"
"bernt-matthias","2024-02-09 17:13:21+00:00","f241f15","[{""name"": ""omero"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-09 17:44:42+00:00","80704e0","[]"
"bernt-matthias","2024-02-09 18:43:59+00:00","51a4b57","[{""name"": ""omero"", ""categories"": [""Imaging""]}]"
"bernt-matthias","2024-02-09 19:01:17+00:00","8f074e1","[]"
"","2024-03-15 12:36:38+00:00","d227a14",""
"rmassei","2024-03-15 12:40:14+00:00","e0da30f","[]"
"rmassei","2024-03-25 08:53:44+00:00","07dedde","[]"
"rmassei","2024-03-26 14:03:38+00:00","4fe6ef4","[]"
"rmassei","2024-03-26 14:37:48+00:00","df9eb07","[]"
"rmassei","2024-03-27 18:09:03+00:00","d4ba79f","[{""name"": ""baseline_calculator"", ""categories"": [""modelling"", ""prediction"", ""toxicology""]}]"
"rmassei","2024-03-27 19:41:50+00:00","72be87b","[{""name"": ""baseline_calculator"", ""categories"": [""modelling"", ""prediction"", ""toxicology""]}]"
"rmassei","2024-03-27 19:47:16+00:00","1a0a5b4","[{""name"": ""baseline_calculator"", ""categories"": [""modelling"", ""prediction"", ""toxicology""]}]"
"rmassei","2024-03-28 07:42:23+00:00","867640a","[{""name"": ""baseline_calculator"", ""categories"": [""modelling"", ""prediction"", ""toxicology""]}]"
"rmassei","2024-03-28 09:01:55+00:00","ba62877","[{""name"": ""baseline_calculator"", ""categories"": [""modelling"", ""prediction"", ""toxicology""]}]"
"rmassei","2024-03-28 09:02:38+00:00","23d399c","[{""name"": ""baseline_calculator"", ""categories"": [""toxicology prediction""]}]"
"rmassei","2024-03-28 12:31:45+00:00","60e2703","[{""name"": ""baseline_calculator"", ""categories"": [""toxicology prediction""]}]"
"rmassei","2024-03-28 12:37:22+00:00","0266e7b","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
"rmassei","2024-03-28 12:58:32+00:00","3185754","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
"rmassei","2024-03-28 13:31:06+00:00","886d798","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
"rmassei","2024-03-28 17:48:52+00:00","da150f1","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
"","2024-04-06 18:34:14+00:00","0acacd5",""
"bernt-matthias","2024-04-09 07:40:31+00:00","008f820","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
"bernt-matthias","2024-04-09 08:40:08+00:00","86477b0","[{""name"": ""baseline_calculator"", ""categories"": [""Ecology"", ""Text Manipulation""]}]"
